,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
189701,189702,2201763,70,15,single,rented,no,Dentist,Kulti,West_Bengal,12,14,0
176485,176486,7159687,38,5,single,rented,no,Computer_operator,Jalgaon,Maharashtra,3,11,0
27140,27141,4539480,46,3,single,rented,yes,Fashion_Designer,Eluru[25],Andhra_Pradesh,3,11,0
95936,95937,6623565,42,16,single,rented,no,Biomedical_Engineer,Bhind,Madhya_Pradesh,5,13,0
82608,82609,6501844,79,14,single,rented,yes,Engineer,Bhopal,Madhya_Pradesh,13,14,0
174873,174874,9859799,70,1,single,rented,yes,Analyst,Pallavaram,Tamil_Nadu,1,11,0
226042,226043,5895533,66,1,single,rented,no,Flight_attendant,Karawal_Nagar,Delhi,1,12,0
31115,31116,8541790,59,17,single,rented,no,Dentist,Hajipur[31],Bihar,3,14,0
25098,25099,1864930,54,2,single,norent_noown,yes,Chartered_Accountant,Vellore,Tamil_Nadu,2,10,0
18399,18400,7804453,77,14,single,rented,yes,Surgeon,Orai,Uttar_Pradesh,3,14,0
142933,142934,4651030,64,13,single,rented,yes,Computer_operator,Orai,Uttar_Pradesh,4,10,0
166204,166205,6284059,45,4,single,norent_noown,no,Software_Developer,Ulhasnagar,Maharashtra,4,11,0
128082,128083,9711256,61,7,single,rented,no,Technology_specialist,Kulti,West_Bengal,7,14,0
240879,240880,4381294,55,13,single,rented,no,Magistrate,Jamnagar,Gujarat,4,10,0
150694,150695,6249961,71,16,single,rented,yes,Statistician,Tezpur,Assam,10,11,0
70732,70733,6128207,43,5,single,owned,no,Statistician,Kishanganj[35],Bihar,5,14,0
175782,175783,2637176,68,4,single,rented,no,Geologist,Nizamabad,Telangana,4,12,0
98242,98243,9224297,69,19,married,owned,yes,Designer,Bahraich,Uttar_Pradesh,11,14,0
233431,233432,8788382,74,11,single,rented,no,Chef,Avadi,Tamil_Nadu,10,12,0
